Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,000260364695511453","0,00187283839491649","0,044474815477357",0,0,0,"4,4576232231282","0,0442662275832894","-2,15146521458688E-05","-2,28143383757141E-07","0,029789050471583","-3,51221173367627E-05","0,07249409145326",0,0,0,0,0,0,package://ZavaQuin/meshes/base_link.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://ZavaQuin/meshes/base_link.STL,,ZavaQuin.stp-1/base.stp-1;ZavaQuin.stp-1/cuerpo.stp-1;ZavaQuin.stp-1/tapa.stp-1;ZavaQuin.stp-1/Pieza4.stp-1;ZavaQuin.stp-1/LD06_PiBracket.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_left_link,0,0,"-0,00015430903826355",0,0,0,"0,190866532892921","0,000153745462220156","-1,87226503814821E-21","-1,25042522522111E-19","0,000153745462220156","-2,35718360863885E-21","0,000277717161348545",0,0,0,0,0,0,package://ZavaQuin/meshes/wheel_left_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://ZavaQuin/meshes/wheel_left_link.STL,,ZavaQuin.stp-1/Llanta.stp-1,Origin_wheel_left_joint,Eje2,wheel_left_joint,continuous,"0,13319","0,18268","0,04","-1,5708",0,"-1,5708",base_link,0,0,1,,,,,,,,,,,,
wheel_right_link,0,0,"0,00015430903826355",0,0,0,"0,190866532892921","0,000153745462220156","-1,4319617412795E-21","-1,24760368762001E-19","0,000153745462220156","-2,45020547725608E-21","0,000277717161348545",0,0,0,0,0,0,package://ZavaQuin/meshes/wheel_right_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://ZavaQuin/meshes/wheel_right_link.STL,,ZavaQuin.stp-1/Llanta.stp-2,Origin_wheel_right_joint,Eje2,wheel_right_joint,continuous,"-0,13681","0,18268","0,04","-1,5708",0,"-1,5708",base_link,0,0,1,,,,,,,,,,,,
caster_wheel_link,"-2,77555756156289E-17","-2,77555756156289E-17",0,0,0,0,"0,113097335529233","4,07150407905237E-05",0,"1,94368867832977E-37","4,07150407905237E-05","1,24653860953172E-21","4,07150407905237E-05",0,0,0,0,0,0,package://ZavaQuin/meshes/caster_wheel_link.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://ZavaQuin/meshes/caster_wheel_link.STL,,ZavaQuin.stp-1/caster.stp-1,Origin_caster_wheel_joint,,caster_wheel_joint,fixed,"-4,4845E-05","-0,16235","0,018397","-1,5708",0,"-1,5708",base_link,0,0,0,0,0,0,0,,,,,,,,
camera_link,"0,00965243593561138","1,8385720590236E-05","-0,000163427102087707",0,0,0,"0,0332100658718068","2,27127334837262E-05","-6,70660167244545E-09","1,82045654663639E-08","2,69592706510735E-06","-9,95791579616354E-12","2,24858404357307E-05",0,0,0,0,0,0,package://ZavaQuin/meshes/camera_link.STL,"0,866666666666667","0,909803921568627",1,1,0,0,0,0,0,0,package://ZavaQuin/meshes/camera_link.STL,,ZavaQuin.stp-1/RealSense_D435_1.stp-1,Origin_camera_joint,,camera_joint,fixed,"0,00039991","-0,17103","0,097276",0,0,"-1,5708",base_link,0,0,0,,,,,,,,,,,,
laser_link,"-0,000108850676728708","1,1004985988522E-05","-0,0112166143877991",0,0,0,"0,0402897893770633","7,68822376371184E-06","9,92757114808107E-08","-5,26149372846125E-08","7,61639192639203E-06","5,59904036135235E-09","8,2844932139337E-06",0,0,0,0,0,0,package://ZavaQuin/meshes/laser_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://ZavaQuin/meshes/laser_link.STL,,ZavaQuin.stp-1/LD06_LiDAR.stp-1/LD06_LiDAR_1.stp-1,Origin_laser_joint,,laser_joint,fixed,"0,0030503","0,0075651","0,1385",0,0,"-1,5708",base_link,0,0,0,,,,,,,,,,,,
imu_link,"-0,0300366459686936","0,0155404733834772","0,00325865052446311",0,0,0,"0,0173828871756339","4,34865051839205E-06","4,63050620378652E-09","1,8818930673377E-09","3,13206596794726E-06","1,06427999775274E-09","7,11315681917902E-06",0,0,0,0,0,0,package://ZavaQuin/meshes/imu_link.STL,"0,827450980392157","0,83921568627451","0,827450980392157",1,0,0,0,0,0,0,package://ZavaQuin/meshes/imu_link.STL,,ZavaQuin.stp-1/kit.stp-1,Origin_imu_joint,Axis_imu_joint,imu_joint,fixed,"-0,0390281436839592","0,0549871759093349","0,010774999999999",0,0,"-1,5707963267949",base_link,0,0,0,,,,,,,,,,,,
